Binary Heap
[464] 0->930->619->723
[409] 0->112->898->724
[375] 0->199->725
[393] 0->643->627->726
[373] 0->643->957->727
[464] 0->930->595->728
[365] 0->643->729
[471] 0->643->390->730
[420] 0->643->502->731
[464] 0->859->684->732
[363] 0->643->957->733
[398] 0->930->164->734
[428] 0->270->735
[372] 0->643->88->736
[313] 0->246->737
[491] 0->246->738
[500] 0->930->748->403->739
[432] 0->930->648->740
[425] 0->930->648->741
[434] 0->643->570->995->742
[374] 0->643->900->743
[323] 0->643->627->744
[304] 0->643->745
[316] 0->112->746
[476] 0->643->476->747
[246] 0->930->748
[243] 0->112->749
[392] 0->930->164->750
[404] 0->930->619->751
[405] 0->112->867->752
[424] 0->246->574->753
[314] 0->859->754
[334] 0->643->755
[369] 0->643->900->756
[503] 0->112->569->757
[473] 0->246->417->758
[478] 0->199->471->759
[438] 0->930->194->760
[464] 0->643->497->761
[423] 0->199->471->762
[413] 0->199->299->763
[356] 0->930->517->764
[441] 0->643->745->765
[449] 0->112->120->766
[395] 0->597->767
[442] 0->643->551->768
[409] 0->930->772->769
[407] 0->112->553->770
[264] 0->643->771
[272] 0->930->772
[485] 0->873->707->773
[391] 0->643->122->774
[378] 0->643->390->775
[363] 0->112->749->776
[451] 0->95->777
[464] 0->643->390->59->778
[348] 0->643->779
[492] 0->643->912->780
[436] 0->643->390->825->781
[467] 0->643->627->487->782
[415] 0->643->551->783
[427] 0->643->48->784
[477] 0->930->748->230->785
[379] 0->112->265->786
[448] 0->787
[487] 0->930->748->617->788
[488] 0->930->119->630->789
[381] 0->643->790
[380] 0->930->748->791
[368] 0->643->88->792
[377] 0->643->397->793
[412] 0->112->813->794
[520] 0->643->546->795
[387] 0->199->299->796
[462] 0->643->88->40->797
[455] 0->930->428->704->798
[312] 0->643->799
[304] 0->643->800
[347] 0->246->801
[486] 0->199->145->802
[315] 0->597->803
[385] 0->199->804
[422] 0->199->145->805
[388] 0->643->929->806
[306] 0->112->807
[379] 0->112->808
[373] 0->199->471->809
[477] 0->643->397->810
[365] 0->930->164->811
[367] 0->930->812
[305] 0->112->813
[399] 0->930->164->814
[489] 0->525->970->815
[445] 0->930->119->575->816
[503] 0->112->974->817
[463] 0->930->119->189->818
[381] 0->112->819
[444] 0->597->63->820
[342] 0->859->821
[443] 0->112->120->822
[309] 0->643->823
[373] 0->112->867->824
[325] 0->643->390->825
[345] 0->643->502->826
[346] 0->525->827
[476] 0->246->650->828
[440] 0->643->957->829
[501] 0->112->749->776->830
[399] 0->643->957->831
[351] 0->597->832
[429] 0->930->517->833
[440] 0->930->517->834
[335] 0->525->835
[476] 0->199->892->836
[455] 0->930->517->837
[512] 0->246->55->838
